NAME,CITY,STABBR,BASIC2015,S&ER&D,NONS&ER&D,PDNFRSTAFF,FACNUM,HUM_RSD,SOCSC_RSD,STEM_RSD,OTHER_RSD,DRSPROF
Mercer University,Macon,GA,17,30162,47,14,429,0,0,0,64,64
Miami University-Oxford,Oxford,OH,16,16035,5181,31,581,7,19,28,7,7
Michigan State University,East Lansing,MI,15,492501,34405,470,2385,96,78,255,173,173
Michigan Technological University,Houghton,MI,16,64791,3735,45,335,0,0,62,11,11
Middle Tennessee State University,Murfreesboro,TN,17,1522,2812,3,756,11,6,0,15,15
Mississippi State University,Mississippi State,MS,16,200251,9478,58,740,2,5,83,48,48
Missouri University of Science and Technology,Rolla,MO,16,38509,556,43,315,0,0,70,0,0
Montana State University,Bozeman,MT,16,104646,8702,75,456,2,0,45,9,9
Montclair State University,Montclair,NJ,17,3342,924,15,553,0,0,0,20,20
Morgan State University,Baltimore,MD,17,15337,383,6,230,7,0,11,34,34
Naval Postgraduate School,Monterey,CA,16,91400,7632,24,242,0,2,25,3,3
New Jersey Institute of Technology,Newark,NJ,16,94371,11710,50,281,0,3,49,0,0
New Mexico State University-Main Campus,Las Cruces,NM,16,129124,5138,46,666,3,7,45,59,59
New York University,New York,NY,15,490614,33009,960,3183,137,71,174,94,94
North Carolina A & T State University,Greensboro,NC,16,34160,887,23,388,0,0,37,0,0
North Carolina State University at Raleigh,Raleigh,NC,15,440392,5720,731,1151,0,34,346,115,115
North Dakota State University-Main Campus,Fargo,ND,16,148352,6085,42,463,6,3,48,47,47
Northeastern University,Boston,MA,15,111779,4466,141,761,10,21,119,36,36
Northern Arizona University,Flagstaff,AZ,16,30903,687,51,657,4,9,12,34,34
Northern Illinois University,Dekalb,IL,16,15165,1262,25,709,10,24,20,50,50
Northwestern University,Evanston,IL,15,621504,23829,1053,1780,69,65,273,39,39
Nova Southeastern University,Fort Lauderdale,FL,16,13532,184,7,814,0,40,71,495,495
Oakland University,Rochester Hills,MI,17,12515,2681,13,520,0,0,27,32,32
Ohio State University-Main Campus,Columbus,OH,15,752836,62239,1055,3491,114,49,355,229,229
Ohio University-Main Campus,Athens,OH,16,58238,2562,31,823,13,4,57,61,61
Oklahoma State University-Main Campus,Stillwater,OK,16,126543,0,52,854,14,15,96,116,116
Old Dominion University,Norfolk,VA,16,52832,14205,32,582,0,18,51,52,52
Oregon State University,Corvallis,OR,15,229456,1507,371,663,1,5,131,64,64
Pennsylvania State University-Main Campus,University Park,PA,15,785705,15068,696,1875,69,73,331,165,165
Pepperdine University,Malibu,CA,17,1298,1103,0,316,0,0,0,51,51
Portland State University,Portland,OR,16,39134,15653,39,589,0,15,31,40,40
Prairie View A & M University,Prairie View,TX,17,12248,44,0,202,0,0,2,20,20
Princeton University,Princeton,NJ,15,287730,5544,769,732,108,59,202,20,20
Purdue University-Main Campus,West Lafayette,IN,15,502457,62466,347,1629,69,37,502,124,124
Rensselaer Polytechnic Institute,Troy,NY,16,104844,764,95,348,4,0,123,8,8
Rice University,Houston,TX,15,136419,2117,231,497,30,19,140,2,2
Rochester Institute of Technology,Rochester,NY,17,31471,4474,17,755,0,0,29,0,0
Rockefeller University,New York,NY,16,316368,0,490,80,0,0,23,0,0
Rutgers University-New Brunswick,New Brunswick,NJ,15,627076,17040,611,2685,64,95,257,192,192
Rutgers University-Newark,Newark,NJ,16,23235,4848,27,406,2,27,14,53,53
Saint Louis University,Saint Louis,MO,16,42316,2165,48,1235,18,11,38,223,223
Sam Houston State University,Huntsville,TX,17,3235,761,12,495,0,0,0,56,56
San Diego State University,San Diego,CA,16,77474,18200,70,660,0,7,29,44,44
San Francisco State University,San Francisco,CA,17,28710,747,18,680,0,0,0,35,35
Seattle Pacific University,Seattle,WA,17,227,898,0,193,0,6,0,22,22
Seton Hall University,South Orange,NJ,17,688,5987,5,394,0,0,2,54,54
South Dakota State University,Brookings,SD,16,58199,135,36,401,0,2,23,22,22
Southern Illinois University-Carbondale,Carbondale,IL,16,65256,0,11,912,30,38,59,43,43
Southern Methodist University,Dallas,TX,16,24443,7958,22,500,10,9,32,23,23
St John's University-New York,Queens,NY,17,2392,115,11,641,9,0,3,100,100
Stanford University,Stanford,CA,15,912244,47003,2515,1872,79,57,544,49,49
Stevens Institute of Technology,Hoboken,NJ,16,28917,1909,21,239,0,0,41,2,2
Stony Brook University,Stony Brook,NY,15,210301,1330,387,1175,70,22,200,9,9
Suffolk University,Boston,MA,17,757,777,0,332,0,8,0,18,18
SUNY at Albany,Albany,NY,15,129434,1521,140,558,26,40,59,61,61
SUNY at Binghamton,Vestal,NY,16,63960,7422,55,535,49,18,83,22,22
SUNY College of Environmental Science and Forestry,Syracuse,NY,17,19027,0,7,100,0,0,25,5,5
Syracuse University,Syracuse,NY,15,48034,18287,65,1018,21,34,72,42,42
Teachers College at Columbia University,New York,NY,16,19457,1081,0,140,1,32,0,162,162
Temple University,Philadelphia,PA,15,206556,17545,249,1935,47,48,71,72,72
Tennessee State University,Nashville,TN,17,19437,631,0,342,0,14,8,63,63
Tennessee Technological University,Cookeville,TN,17,9410,687,2,307,0,0,17,6,6
Texas A & M University-College Station,College Station,TX,15,826152,28062,505,2020,30,60,472,181,181
Texas A & M University-Commerce,Commerce,TX,16,1606,1227,8,279,9,3,0,77,77
Texas A & M University-Corpus Christi,Corpus Christi,TX,17,19058,2263,16,344,0,0,4,21,21
Texas A & M University-Kingsville,Kingsville,TX,17,18371,3448,0,417,0,0,1,28,28
